inputs,response
하이테크과정은 어떤 교육과정인가요?,"하이테크과정은 4차 산업혁명 선도 및 유망·성장동력 분야 인력양성을 위한 취업 역량 향상 과정입니다. 서울강서캠퍼스의 경우 하이테크과정에는 스마트금융과, 사이버보안과, 출판편집디자인과가 있습니다."
하이테크과정 학사일정은 어떻게 되나요?,"   ㅁ 학사일정은 다음과 같습니다.
     [ 주간1년과정 ]
    ㅇ 입학 및 수료 : 매년 3월 입학, 다음해 2월 수료
    ㅇ 수업시간 : 매주 월요일~금요일, 09:00 ~ 17:40(50분 수업 후 10분 휴식_일부 요일은 6교시)
    ㅇ 방학 : 하계방학 7~8월 중 4주 이상, 동계방학 12~1월 중 4주 이상
    ※ 매년 조기취업 일부가능, 매년 11월 초순부터 현장실습(취업) 가능"
하이테크과정 원서접수는 언제부터 하나요?,"   ▶ 접수기간: 매년 11월 초부터 다음해 2월까지
   ▶ 접수방법: 인터넷 및 방문 접수"
하이테크과정 지원자격은 어떻게 되나요?,"  하이테크과정은 만 15세 이상 ~ 만 39세 이하(입학일 기준)로 아래 중 하나에 해당해야 합니다.
   ① 2년제 대학이상 졸업(예정자) 또는 4년제 대학의 2년 이상 수료(예정)자
   ② 산업기사 이상 자격증 소지자
   ③ 동일 및 유사 계열 2년 이상 실무 종사자
① 의 경우, 입학일 기준 최종학력 마지막 학기 재학생은 폴리텍대학 수업에 정상적으로 참여가 가능한 경우 지원 가능합니다.
또한 각 캠퍼스마다 매년 기준은 일부 상이하게 운영됩니다."
하이테크과정 비전공자인데 지원이 가능한가요?,하이테크과정은 전공과 무관하게 지원하실 수 있습니다. 예를 들어 문과대학을 졸업하셨어도 스마트금융과과 하이테크과정에 지원하실 수 있습니다.
하이테크과정 지금 직장인인데 지원이 가능한가요?,"원서를 접수하는 시점에서는 직장인이라도 접수가 가능합니다. 다만, 입학 전까지는 직장에서 퇴직을 하셔야 합니다. 특히, 고용보험사업장에서 고용보험가입이 되어있는 분들은 입학일 전까지는 반드시 고용보험이 상실되어야 합니다."
하이테크과정 훈련장려금은 얼마나 나오나요?,"훈련장려금은 매월 6만 6천원, 교통비(기숙사생 제외) 5만원을 지급합니다. 단, 월별 출석률이 80%이상 이어야 하며, 출석일수에 따라 차등지급 됩니다."
하이테크과정 실업급여를 받고 있는데 입학이 가능한가요?,"입학 가능합니다. 단, 훈련장려금(훈련수당+교통비)은 실업급여 수급기간에는 지급되지 않으며, 수급기간이 끝나는 시점부터 지급합니다."
하이테크과정 선발 기준은 어떻게 되나요?,면접 100% 선발로 모든 지원자가 면접에 응시하셔야 합니다.면접을 통해 지원자의 학업 및 취업에 대한 의지 등을 평가하여 선발하게 됩니다.
하이테크과정 졸업하면 학력으로 인정되나요?,"한국폴리텍대학은 학위과정인 산업학사(2년)와 비학위과정인 전문기술과정(1년) 및 하이테크 과정(1년) 등을 운영합니다. 서울강서캠퍼스는 2024학년도 전문기술(1년), 하이테크(1년) 등을 운영 합니다. 하이테크과정은 취업희망자를 대상으로 하는 직업교육과정으로 비학위과정입니다."
하이테크과정은 어떤 교육과정인가요?,"하이테크과정은 4차 산업혁명 선도 및 유망·성장동력 분야 인력양성을 위한 취업 역량 향상 과정입니다. 서울강서캠퍼스의 경우 하이테크과정에는 스마트금융과, 사이버보안과, 출판편집디자인과가 있습니다."
하이테크과정 학사일정은 어떻게 되나요?,"   ㅁ 학사일정은 다음과 같습니다.
     [ 주간1년과정 ]
    ㅇ 입학 및 수료 : 매년 3월 입학, 다음해 2월 수료
    ㅇ 수업시간 : 매주 월요일~금요일, 09:00 ~ 17:40(50분 수업 후 10분 휴식_일부 요일은 6교시)
    ㅇ 방학 : 하계방학 7~8월 중 4주 이상, 동계방학 12~1월 중 4주 이상
    ※ 매년 조기취업 일부가능, 매년 11월 초순부터 현장실습(취업) 가능"
하이테크과정 원서접수는 언제부터 하나요?,"   ▶ 접수기간: 매년 11월 초부터 다음해 2월까지
   ▶ 접수방법: 인터넷 및 방문 접수"
